BMI,PhysicalActivity5OrMoreDays,WhatIsYourSex
23.543252595155714,2.0,2.0
29.876924235010726,1.0,1.0
19.85365364696448,1.0,1.0
20.75811134957707,7.0,1.0
22.148437499999996,6.0,1.0
18.402369264473204,1.0,1.0
24.453124999999996,1.0,1.0
23.92389143575804,2.0,1.0
20.007350730061145,4.0,1.0
24.453124999999996,6.0,1.0
24.25072671990377,1.0,1.0
18.961450028367523,8.0,2.0
20.15770657222092,8.0,2.0
20.24422897480628,8.0,2.0
21.0,5.0,2.0
31.843265306122447,4.0,2.0
39.083044982698965,3.0,2.0
26.915793460421664,1.0,2.0
20.75811134957707,6.0,2.0
23.929844046462126,8.0,1.0
30.475678581026603,2.0,1.0
20.08928571428572,5.0,1.0
28.510670330083933,2.0,1.0
26.989898989898993,1.0,1.0
28.320499479708637,1.0,1.0
20.057608827944335,4.0,1.0
31.100653170514015,1.0,1.0
25.393282312925173,8.0,1.0
22.6593204775023,2.0,1.0
22.820987654320984,8.0,2.0
22.401234567901234,3.0,2.0
22.401234567901234,5.0,2.0
18.480725623582767,6.0,1.0
21.825528007346193,1.0,1.0
26.522770556984863,1.0,1.0
19.148788927335644,3.0,1.0
33.86186509002956,2.0,1.0
18.402369264473204,1.0,1.0
28.323232323232325,1.0,1.0
19.762901765504754,1.0,2.0
22.958367346938775,5.0,2.0
20.731301939058174,2.0,2.0
22.401234567901234,8.0,2.0
21.697845804988667,4.0,1.0
22.148437499999996,7.0,1.0
18.803146258503403,6.0,1.0
16.68458578542327,8.0,1.0
21.697845804988667,3.0,1.0
30.69727891156463,8.0,1.0
20.89356575963719,8.0,1.0
22.733803334558456,4.0,1.0
24.911422902494337,5.0,2.0
25.425605536332185,6.0,2.0
28.49379108838568,7.0,2.0
22.498582766439913,2.0,1.0
25.759002770083104,8.0,2.0
27.999999999999996,8.0,2.0
23.566406249999996,6.0,2.0
21.672788079667946,8.0,2.0
20.186845095316247,8.0,2.0
29.193771626297583,6.0,2.0
32.58448979591837,4.0,2.0
21.0,6.0,2.0
20.75811134957707,8.0,2.0
31.338577097505674,3.0,2.0
20.057608827944335,1.0,1.0
19.99265381083563,5.0,1.0
18.074218749999996,5.0,1.0
22.661564625850342,8.0,1.0
18.95065678045843,2.0,1.0
26.290037261470133,6.0,1.0
23.002961580591506,7.0,1.0
19.285005668934243,1.0,1.0
23.921874999999996,8.0,1.0
25.691406249999993,2.0,1.0
19.285005668934243,1.0,1.0
19.304498269896197,7.0,2.0
20.543462381300216,8.0,2.0
22.45121505943446,1.0,1.0
